laya-lex vs baseline  (paired tasks: moon 20, httpx 20, hono 20)
| metric | moon | httpx | hono | pooled (ratio of sums) | pooled (repo-balanced) |
|---|---|---|---|---|---|
| code-reading tokens | -47.2% [-63.6, -23.5] 16/20 | -30.3% [-43.3, -13.8] 16/20 | -37.9% [-53.5, -20.3] 15/20 | **-42.7%** [-55.5, -27.6] 47/60 | -38.5% [-47.2, -27.4] |
| reading+injected tokens | -22.3% [-45.4, +10.2] 10/20 | +72.4% [+38.3, +123.3] 2/20 | +32.2% [+10.2, +58.9] 5/20 | **+3.3%** [-18.3, +28.2] 17/60 | +27.5% [+11.9, +49.7] |
| total input tokens | -25.5% [-46.1, -2.0] 12/20 | -16.1% [-29.0, -1.1] 15/20 | +14.7% [-10.0, +42.8] 8/20 | **-15.6%** [-31.2, -0.1] 35/60 | -9.0% [-20.9, +4.3] |
| wall seconds | -13.7% [-26.9, +2.2] 15/20 | -15.9% [-28.5, +1.8] 15/20 | +5.0% [-18.6, +32.2] 14/20 | **-8.8%** [-18.9, +2.5] 44/60 | -8.2% [-18.5, +3.5] |
| turns | -30.7% [-41.2, -19.1] 16/20 | -33.2% [-41.5, -24.9] 19/20 | -22.9% [-34.8, -8.5] 17/20 | **-29.4%** [-35.6, -22.8] 52/60 | -28.9% [-35.0, -22.3] |
| cost usd | -26.7% [-41.3, -10.8] 16/20 | -5.0% [-17.6, +8.0] 10/20 | +14.1% [-6.7, +34.8] 8/20 | **-12.9%** [-24.4, -1.5] 34/60 | -5.9% [-15.4, +3.9] |
| answer recall (turn 1) | 0.958 vs 0.925 (+0.033 [-0.033, +0.108]) | 0.817 vs 0.717 (+0.100 [+0.025, +0.200]) | 0.854 vs 0.804 (+0.050 [+0.000, +0.125]) | 0.876 vs 0.815 (**+0.061** [+0.019, +0.108]) |  |
| answer recall (both turns) | 0.958 vs 0.950 (+0.008 [-0.083, +0.100]) | 0.867 vs 0.867 (+0.000 [+0.000, +0.000]) | 0.988 vs 0.983 (+0.004 [-0.037, +0.050]) | 0.938 vs 0.933 (**+0.004** [-0.029, +0.037]) |  |
