laya-adaptive vs baseline  (paired tasks: moon 20, httpx 20, hono 20)
| metric | moon | httpx | hono | pooled (ratio of sums) | pooled (repo-balanced) |
|---|---|---|---|---|---|
| code-reading tokens | -37.1% [-55.1, -9.7] 12/20 | -31.5% [-45.2, -13.5] 15/20 | -46.5% [-60.3, -30.7] 18/20 | **-38.2%** [-50.8, -21.8] 45/60 | -38.4% [-47.3, -26.5] |
| reading+injected tokens | -12.6% [-36.4, +23.3] 10/20 | +69.5% [+35.3, +121.3] 2/20 | +22.2% [+0.3, +48.9] 5/20 | **+7.1%** [-13.7, +33.0] 17/60 | +26.4% [+10.8, +48.8] |
| total input tokens | -3.5% [-22.4, +21.0] 9/20 | -3.0% [-19.3, +13.8] 12/20 | -5.2% [-30.3, +33.1] 11/20 | **-3.7%** [-16.9, +11.9] 32/60 | -3.9% [-16.2, +12.2] |
| wall seconds | +13.8% [-3.3, +31.9] 8/20 | -2.5% [-13.0, +11.3] 13/20 | -5.0% [-23.2, +21.3] 12/20 | **+3.5%** [-6.2, +14.8] 33/60 | +2.1% [-7.1, +13.6] |
| turns | -10.7% [-23.2, +2.5] 13/20 | -26.5% [-36.6, -15.1] 14/20 | -31.8% [-41.9, -19.1] 18/20 | **-20.9%** [-27.7, -13.7] 45/60 | -23.0% [-29.4, -15.8] |
| cost usd | -16.8% [-28.4, -3.0] 13/20 | +3.8% [-5.0, +13.2] 10/20 | -5.2% [-21.7, +17.3] 9/20 | **-9.9%** [-18.7, -0.4] 32/60 | -6.1% [-13.7, +3.2] |
| answer recall (turn 1) | 0.950 vs 0.925 (+0.025 [-0.050, +0.100]) | 0.917 vs 0.717 (+0.200 [+0.075, +0.333]) | 0.829 vs 0.804 (+0.025 [-0.050, +0.100]) | 0.899 vs 0.815 (**+0.083** [+0.028, +0.144]) |  |
| answer recall (both turns) | 0.975 vs 0.950 (+0.025 [-0.050, +0.100]) | 0.917 vs 0.867 (+0.050 [+0.000, +0.150]) | 0.988 vs 0.983 (+0.004 [-0.037, +0.050]) | 0.960 vs 0.933 (**+0.026** [-0.014, +0.075]) |  |
