laya-adaptive vs laya-lex  (paired tasks: moon 20, httpx 20, hono 20)
| metric | moon | httpx | hono | pooled (ratio of sums) | pooled (repo-balanced) |
|---|---|---|---|---|---|
| code-reading tokens | +19.1% [+4.3, +35.2] 7/20 | -1.7% [-20.2, +19.3] 9/20 | -13.7% [-32.7, +9.8] 11/20 | **+7.9%** [-3.1, +19.8] 27/60 | +1.2% [-9.2, +12.9] |
| reading+injected tokens | +12.5% [+2.1, +24.0] 7/20 | -1.7% [-9.6, +5.9] 8/20 | -7.6% [-17.4, +2.4] 10/20 | **+3.6%** [-2.6, +10.1] 25/60 | +1.1% [-4.4, +6.8] |
| total input tokens | +29.5% [+9.5, +55.5] 6/20 | +15.6% [-2.3, +38.2] 10/20 | -17.4% [-36.1, +2.2] 13/20 | **+14.0%** [+1.1, +29.1] 29/60 | +9.2% [-2.0, +22.5] |
| wall seconds | +31.8% [+8.4, +60.5] 3/20 | +16.0% [-0.2, +36.0] 7/20 | -9.5% [-23.4, +5.6] 11/20 | **+13.4%** [+1.8, +27.0] 21/60 | +12.8% [+2.2, +25.6] |
| turns | +28.8% [+12.5, +48.5] 3/20 | +10.1% [-5.9, +29.7] 8/20 | -11.6% [-23.0, +0.7] 10/20 | **+12.0%** [+2.9, +22.2] 21/60 | +9.1% [+0.6, +19.4] |
| cost usd | +13.5% [-2.1, +33.1] 8/20 | +9.3% [-5.2, +28.0] 10/20 | -16.9% [-29.9, -2.2] 12/20 | **+3.5%** [-5.9, +14.7] 30/60 | +1.9% [-6.4, +12.3] |
| answer recall (turn 1) | 0.950 vs 0.958 (-0.008 [-0.075, +0.050]) | 0.917 vs 0.817 (+0.100 [+0.000, +0.233]) | 0.829 vs 0.854 (-0.025 [-0.100, +0.050]) | 0.899 vs 0.876 (**+0.022** [-0.025, +0.075]) |  |
| answer recall (both turns) | 0.975 vs 0.958 (+0.017 [+0.000, +0.050]) | 0.917 vs 0.867 (+0.050 [+0.000, +0.150]) | 0.988 vs 0.988 (+0.000 [+0.000, +0.000]) | 0.960 vs 0.938 (**+0.022** [+0.000, +0.061]) |  |
